age_in_years,days_tenure,length_of_residence,curr_ann_amt,good_credit,Churn
44,1454,15.0,818.877997,1,0
72,1795,2.0,974.199182,0,0
55,4818,10.0,967.375112,0,0
53,130,6.0,992.409561,1,1
50,5896,4.0,784.633494,1,0
33,484,2.0,909.916163,1,0
71,2896,8.0,1084.048271,1,0
46,4096,12.0,1277.370767,1,0
56,2107,6.0,917.201036,1,1
64,3387,15.0,1095.390747,0,0
67,5336,15.0,905.038011,1,0
41,6020,6.0,462.911054,1,0
69,374,5.0,722.089567,1,0
59,150,11.0,841.02187,1,0
44,4711,10.0,741.671055,1,0
41,5049,15.0,1398.728178,1,0
60,6226,12.0,913.663034,1,0
49,1018,6.0,438.245021,1,0
68,5463,9.0,953.30552,1,0
38,3336,7.0,725.165234,1,0
49,5654,0.0,716.719703,0,1
55,6291,7.0,1322.51236,1,0
54,6291,15.0,908.895897,1,0
108,662,4.0,885.991042,1,0
33,824,15.0,862.424306,1,0
89,261,15.0,1144.91771,0,0
44,5282,2.0,1356.99685,1,0
35,629,1.0,633.822136,1,0
91,4027,15.0,832.216142,1,0
72,6291,10.0,963.595559,1,0
53,257,3.0,750.160284,0,1
37,615,15.0,962.944213,1,0
36,582,7.0,875.409922,1,0
71,1940,13.0,721.392489,1,0
31,4050,6.801,1151.307831,1,0
68,5518,15.0,602.589345,0,0
50,6291,2.0,1003.887697,1,0
55,6022,15.0,1111.833596,0,0
42,6291,8.0,919.706387,1,0
69,6291,0.0,926.139865,1,0
69,6291,15.0,959.257529,1,0
64,2540,15.0,1272.616891,1,0
88,6291,2.0,1242.665217,1,0
56,2754,9.0,691.267846,1,0
55,3367,1.0,621.295189,1,0
36,4304,1.0,681.475923,1,0
57,4277,15.0,1368.247532,0,0
42,4829,6.0,1162.849677,1,0
55,5621,6.801,776.499976,0,0
51,4851,10.0,1230.92582,0,0
35,64,15.0,1001.512787,1,0
50,1742,3.0,828.838314,0,0
35,925,4.0,841.34732,1,0
44,1459,3.0,760.828484,0,0
39,1960,0.0,655.65346,1,1
47,108,6.0,624.385366,1,0
50,118,6.0,764.85186,1,0
59,6291,13.0,599.832416,1,0
63,165,12.0,756.43702,1,1
